Country,State,Year,Ministry Or Department Name,Direct Benefit Transfer (Dbt) Scheme Name,Direct Benefit Transfer (Dbt) Scheme Benefit Type,Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees))
India,Odisha,"Financial Year (Apr - Mar), 2017",Ministry of Labour and Employment,Scholarship To The Children of Beedi Workers,Cash,11361140
India,Telangana,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Cultural Function and Production Grant,Cash,630000
India,Telangana,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Pragati Scholarship for girls in Degree Colleges,Cash,2170000
India,Sikkim,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,641234
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Ministry of Railways,Prime Minister's Scholarship Scheme for Railway Protection Force (RPF),Cash,99000
India,Rajasthan,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Dr. Ambedkar Centrally Sponsored Scheme Of Post-Matric Scholarships For The Economically Backward Class (EBC) Students,Cash,2746000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P. G. Scholarship for Professional Courses for SC/ST candidates,Cash,190950
India,Tripura,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Cultural Function and Production Grant,Cash,1318847
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,ASHA incentives,Cash,14294721.66737951131392108450
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Life Insurance linked with PMJDY,Cash,240000
India,West Bengal,"Financial Year (Apr - Mar), 2018",Department of Rural Development,DAY-NRLM,Cash and In Kind,1845529616
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,57013000.00000000000000000000
India,Kerala,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,1103225244
India,Uttarakhand,"Financial Year (Apr - Mar), 2017","Department of Agriculture, Cooperation and Farmers Welfare",Pradhan Mantri Krishi Sinchai Yojana,Cash and In Kind,2983139
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Agricultural Research and Education,AgEdn - Students READY,Cash,4706259
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Higher Education,BSR Fellowship,Cash,1586398
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-SRF and RA Fellowship,Cash,2591220
India,West Bengal,"Financial Year (Apr - Mar), 2018",Department of Agricultural Research and Education,AgEdn - ICAR Senior Research Fellowship,Cash,910775
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,502400
India,Goa,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Maulana Azad National Fellowship for Minority Student,Cash,3816185
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship for University Rank Holders,Cash,8800
India,Puducherry,"Financial Year (Apr - Mar), 2018",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,338181010
India,Manipur,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,National Youth Corps,Cash,4641118
India,West Bengal,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,981390
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Janani Suraksha Yojana,Cash,38862315
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,2555000.00000000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,Cash,796392.74970015074989955400
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB Notification incentive for Private Sector,Cash,8000.00000000000000000000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,144616561
India,Puducherry,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,579920
India,West Bengal,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,SWACHH BHARAT MISSION URBAN,Cash,130928
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB Notification incentive for Private Sector,Cash,6119000
India,Karnataka,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Emeritus Fellowship,Cash,460200
India,Haryana,"Financial Year (Apr - Mar), 2018",Ministry of Railways,Prime Minister's Scholarship Scheme for Railway Protection Force (RPF),Cash,24000
India,Telangana,"Financial Year (Apr - Mar), 2019",Department of Higher Education,"Junior Research Fellowship in Science, Humanities and Social Sciences",Cash,141931839
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher education for ST students (for FELLOWSHIP),Cash,46010176
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Atal Pension Yojana,Cash,48602584
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Pradhan Mantri Rojgar Protshan Yojana (PMRPY),Cash,684032081
India,West Bengal,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,DAY NULM,Cash and In Kind,66871360
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,108630000
India,Telangana,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,340920375
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PAHAL,Cash,16476290000
India,Mizoram,"Financial Year (Apr - Mar), 2018",Department of Rural Development,DAY-NRLM,Cash and In Kind,70319520
India,Kerala,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Payments to contractual staff,Cash,121313786
India,Mizoram,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,DAY NULM,Cash and In Kind,80000
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,229915300
India,Ladakh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,318623.36682427390710309200
India,Meghalaya,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PAHAL,Cash,358700000
India,Kerala,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Emeritus Fellowship,Cash,1167244
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Cultural Function and Production Grant,Cash,777391
India,Gujarat,"Financial Year (Apr - Mar), 2018",Department of Rural Development,DAY-NRLM,Cash and In Kind,106139810
India,Haryana,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Short Term Studentship,Cash,190000
India,Meghalaya,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for OBC Students,Cash,1336000
India,Karnataka,"Financial Year (Apr - Mar), 2019","Department of Water Resources, River Development and Ganga Rejuvenation",R and D Programme in Water Sector,Cash,1703380
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Agricultural Research and Education,ICAR Headquarter NASF,Cash,6335327
India,Odisha,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Pensioners,Cash,198278369
India,Punjab,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,427749000
India,Uttarakhand,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,3943200
India,Telangana,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,2262010
India,Karnataka,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",NMSA-Rainfed Area Development,Cash and In Kind,2874872
India,Sikkim,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,42010000
India,Mizoram,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",PM KISAN,Cash,273870000
India,Karnataka,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Financial Assistance for the Development of Buddhist/Tibetan Arts and Culture,Cash,2350000
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,425974
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Department of Higher Education,"Junior Research Fellowship in Science, Humanities and Social Sciences",Cash,469818810
India,Telangana,"Financial Year (Apr - Mar), 2019",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,19662600913
India,Haryana,"Financial Year (Apr - Mar), 2018",Department of Rural Development,DAY-NRLM,Cash and In Kind,182945558
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019","Ministry of Environment, Forests and Climate Change",Indian Council of Forestry Research and Education,Cash,2762737
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,3377498700
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Petroleum and Natural Gas,PAHAL,Cash,1652350000
India,Karnataka,"Financial Year (Apr - Mar), 2019",Department of Agricultural Research and Education,AgEdn - Students READY,Cash,1814923503
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Cultural Function and Production Grant,Cash,596425
India,Tripura,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,967200
India,Gujarat,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,8766740000
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Life Insurance linked with PMJDY,Cash,30000
India,Manipur,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,Pradhan Mantri Ujjwala Yojana,In Kind,38020800
India,Punjab,"Financial Year (Apr - Mar), 2019",Ministry of Electronics and Information Technology (MeitY),Visvesvaraya PhD Scheme for Electronics and IT,Cash,15796856
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Drinking Water and Sanitation,Swachh Bharat Mission Gramin,Cash and In Kind,1847400
India,Meghalaya,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,65659000
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,662122025
India,Meghalaya,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post Doctoral Fellowship for Women,Cash,125969
India,Odisha,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Scholarship,Cash,24590000
India,Kerala,"Financial Year (Apr - Mar), 2017",Department of Empowerment of Persons with Disabilities,"Assistance to Disabled Persons for Purchase, Fitting of Aids, Appliances",In Kind,8179445
India,Kerala,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,81524546
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,94623500
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB Notification incentive for Private Sector,Cash,3761575
India,Telangana,"Financial Year (Apr - Mar), 2016",Ministry of Petroleum and Natural Gas,PAHAL,Cash,7050100000
India,Telangana,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for OBC Students,Cash,7223490
India,Manipur,"Financial Year (Apr - Mar), 2019",Ministry of Development of North Eastern Region,Scheme of North Eastern Council of Financial Support to the Student of North East Region,Cash,26390550
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post Doctoral Fellowship for Women,Cash,6456079
India,Haryana,"Financial Year (Apr - Mar), 2018",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,26400
India,Kerala,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,343865943
India,Odisha,"Financial Year (Apr - Mar), 2017",Department of Commerce,Coffee Board,Cash,60000
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Payments to contractual staff,Cash,353167950
India,Kerala,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher education for ST students (for FELLOWSHIP),Cash,3577681
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Agriculture Technology Management Agency (ATMA)- Farmers,Cash and In Kind,197590000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,162791007
India,Rajasthan,"Financial Year (Apr - Mar), 2019","Ministry of Environment, Forests and Climate Change",Indian Council of Forestry Research and Education,Cash,2698256
India,Puducherry,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,70500
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,9401680.50507937692595218987
India,Sikkim,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,697251
India,Odisha,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,571760
India,West Bengal,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,1200000
India,Meghalaya,"Financial Year (Apr - Mar), 2017",Department of Commerce,Coffee Board,Cash,1078254
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,2845700000
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher education for ST students (for FELLOWSHIP),Cash,35880879
India,West Bengal,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,2003712000
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,116250
India,Tripura,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,1034900000
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,202200
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PRADHAN MANTRI UJJWALA YOJANA,In Kind,3398067200
India,Tripura,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,177125
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,235249840.61702684458160370000
India,Ladakh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,8057.22305387431065709200
India,Karnataka,"Financial Year (Apr - Mar), 2018",Ministry of Labour and Employment,"Financial Assistance for Education for the Wards of Beedi, Cine, IOMC, LSDM Workers",Cash,77695770
India,West Bengal,"Financial Year (Apr - Mar), 2019",Ministry of New and Renewable Energy,Short Term Training Programme component of HRD Programme,In Kind,12113214
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,7356000
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,Pradhan Mantri Ujjwala Yojana,In Kind,745600.00000000000000000000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,75583800
India,Karnataka,"Financial Year (Apr - Mar), 2019",Department of Promotion of Industry and Internal Trade,Children Reward Scheme - Scheme for Salt Workers,Cash,26500
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,2705600.00000000000000000000
India,Maharashtra,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,460796
India,Mizoram,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Maulana Azad National Fellowship for Minority Student,Cash,1304640
India,West Bengal,"Financial Year (Apr - Mar), 2017",Department of Rural Development,Mahatma Gandhi NREGA,Cash,56918661950
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",NMSA-Rainfed Area Development,Cash and In Kind,190728
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Scientific and Industrial Research,Promoting Innovations in Individuals Start-ups and MSMEs -PRISM,Cash,190000
India,Uttarakhand,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,33420
India,Odisha,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,45798255000
India,Mizoram,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,Youth Hostels,Cash,89700
India,Karnataka,"Financial Year (Apr - Mar), 2016",Ministry of Petroleum and Natural Gas,PAHAL,Cash,8703960000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Janani suraksha yojana,Cash,228471199
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,718600
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Janani suraksha yojana,Cash,3068295336
India,Manipur,"Financial Year (Apr - Mar), 2019",Ministry of Skill Development and Entrepreneurship,Pradhan Mantri Kaushal Vikas Yojana (2016-20),Cash and In Kind,91996268
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,2276998
India,Punjab,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Short Term Studentship,Cash,90000
India,Odisha,"Financial Year (Apr - Mar), 2018",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,1625178
India,Kerala,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,214045
India,Uttarakhand,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission on Agriculture Mechanization-Central Sector,Cash and In Kind,5400
India,Maharashtra,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,20321694071
India,Haryana,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,900120000
India,Rajasthan,"Financial Year (Apr - Mar), 2018","Ministry of Environment, Forests and Climate Change",Indian Council Of Forestry Research And Education,Cash,1572880
India,Mizoram,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - Tribal TB Patients,Cash,679500
India,Maharashtra,"Financial Year (Apr - Mar), 2017","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,61188958
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Credit Link Subsidy Scheme (CLSS),Cash,798231017
India,Puducherry,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Cultural Function and Production Grant,Cash,237500
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,879720
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,2428294
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for providing scholarships to Scheduled Caste students to pursue programmes in Higher Education such as M.Phil. and Ph.D.,Cash,52500
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Post Doctoral Fellowship,Cash,589333
India,Punjab,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,88515300
India,Odisha,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,82115100
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,284883100
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,13403406832
India,Tripura,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,34120
India,Sikkim,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for providing scholarships to Scheduled Caste students to pursue programmes in Higher Education such as M.Phil. and Ph.D.,Cash,3032222
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016",Ministry of Petroleum and Natural Gas,PAHAL,Cash,1711892285.36319434776676790000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,22292400000
India,Manipur,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,716900000
India,Puducherry,"Financial Year (Apr - Mar), 2019",Department of Drinking Water and Sanitation,Swachh Bharat Mission Gramin,Cash and In Kind,31695000
India,Haryana,"Financial Year (Apr - Mar), 2018",Department of Food and Public Distribution,DBT Kind - PDS Operations In 34 States And UTs,In Kind,11590281668
India,Telangana,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,34185928
India,Sikkim,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Janani Suraksha Yojana,Cash,51300
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission on Agriculture Mechanization-Centrally Sponsored,Cash,2143076812
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Department of Ex-Servicemen Welfare,Raksha Mantri Ex-servicemen Welfare Fund (RMEWF),Cash,27823000
India,Kerala,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Swami Vivekananda Single Girl Child Fellowship for Research in Social Sciences,Cash,11066105
India,Meghalaya,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher education for ST students (for FELLOWSHIP),Cash,45066971
India,Ladakh,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,3663572.56270824193505176046
India,West Bengal,"Financial Year (Apr - Mar), 2018","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,4156160
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,DAY-NRLM,Cash and In Kind,15781500
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,1344000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Labour and Employment,"Financial Assistance for Education for the Wards of Beedi, Cine, IOMC, LSDM Workers",Cash,400000
India,Odisha,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,62709687
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Ministry of Textiles,Amended Technology Upgradations Fund,Cash,102808730
India,Haryana,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Pragati Scholarship for girls in Degree Colleges,Cash,150000
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Members,Cash,14403824776
India,Karnataka,"Financial Year (Apr - Mar), 2019",Department of Space,Master Control Facility - Scholarships and Stipends,Cash,955362
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Central Sector Scheme of Scholarship for College and University Students,Cash,140000.00000000000000000000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Financial Assistance for the Development of Buddhist/Tibetan Arts and Culture,Cash,14224000
India,Karnataka,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,1585800
India,Manipur,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Central Sector Scheme of Scholarship for College and University Students,Cash,3740000
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Swachh Bharat Mission Urban,Cash,49333
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Swami Vivekananda Single Girl Child Fellowship for Research in Social Sciences,Cash,113800
India,Rajasthan,"Financial Year (Apr - Mar), 2018",Ministry of Railways,Prime Minister's Scholarship Scheme for Railway Protection Force (RPF),Cash,54000
India,West Bengal,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Scheme for Extra Mural Research in AYUSH,Cash,1128000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",Department of Heavy Industry,Demand Incentive Delivery Mechanism under FAME India Scheme,In Kind,91988500
India,Puducherry,"Financial Year (Apr - Mar), 2019",Ministry of Electronics and Information Technology (MeitY),Visvesvaraya PhD Scheme for Electronics and IT,Cash,4234365
India,West Bengal,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Widow Pension Scheme-IGNWPS,Cash,1203274240
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission on Agriculture Mechanization-Centrally Sponsored,Cash,903335000
India,Gujarat,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for OBC Students,Cash,24567109
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,455489050
