Country,State,Year,Ministry Or Department Name,Direct Benefit Transfer (Dbt) Scheme Name,Direct Benefit Transfer (Dbt) Scheme Benefit Type,Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees))
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Members,Cash,28303310
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,2026830
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,5170797
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Credit Link Subsidy Scheme (CLSS),Cash,2788818629
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Janani Suraksha Yojana,Cash,351100
India,Assam,"Financial Year (Apr - Mar), 2017",Ministry of External Affairs,Promotion of Yoga,Cash,1800000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,59950
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-SRF and RA Fellowship,Cash,2902808
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Labour and Employment,Scholarship To The Children of Cine Workers,Cash,652240
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post Doctoral Fellowship for Women,Cash,40067475
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,652038000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,DAY-NRLM,Cash and In Kind,20947000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,241203
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Pragati Scholarship for girls Diploma Institutes,Cash,700000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,1728310
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,Pradhan Mantri Ujjwala Yojana,In Kind,7809600
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - TB Notification incentive for Private Sector,Cash,85000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - TB Notification incentive for Private Sector,Cash,348000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Centrally Sponsored Scheme Of Post Matric Scholarships To The Students Belonging To Scheduled Castes For Studies In India,Cash,3958300000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-SRF and RA Fellowship,Cash,253600
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,63300
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - Tribal TB Patients,Cash,655500
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,NPYAD-National Youth Awards,Cash,100000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,21143498664
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Electronics and Information Technology (MeitY),Visvesvaraya PhD Scheme for Electronics and IT,Cash,6247199
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,YOUTH HOSTELS,Cash,378000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,100330
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,433685
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Ex-Servicemen Welfare,Raksha Mantri Ex-servicemen Welfare Fund (RMEWF),Cash,7644000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,1080000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Space,Satish Dhawan Space Centre-SHAR - Scholarships and Stipends,Cash,15413379
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,Youth Hostels,Cash,318000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,17817902
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,109842910
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,Pradhan Mantri Ujjwala Yojana,In Kind,8785600
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Saksham scholarship for differently abled students of Degree Colleges,Cash,40000
India,Assam,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Centrally Sponsored Scheme of Pre-matric Scholarships to the Other Backward Classes,Cash,19154800
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,220627
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Dr S Radhakrishnan Postdoctoral Fellowship in Humanities and Social Science,Cash,20132941
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PAHAL,Cash,18490480000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Short Term Studentship,Cash,40000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,335759800
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,7294000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,1400000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,579141
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Promotion of Industry and Internal Trade,Primary Skill Development programme under IFLADP,Cash,1500
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Umbrella ICDS-Anganwadi Services- Honorarium To AWW And AWH,Cash,7054000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Skill Development and Entrepreneurship,Pradhan Mantri Kaushal Vikas Yojana (2016-20),Cash and In Kind,8248998
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Electronics and Information Technology (MeitY),Visvesvaraya PhD Scheme for Electronics and IT,Cash,5165126
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,42574150
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,990000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,104500
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",IC Schemes,Cash,1913177
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,5108068
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,National Youth Corps,Cash,20925055
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,3185350
