Country,State,Year,New Lives Covered Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),"Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) Claims Settled Includes Death, Accident And Disability Claims (UOM:Number)","Amount Of Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) , Claims Settled Includes Death, Accident And Disability Claims (UOM:INR(IndianRupees))",Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),Amount Of Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:INR(IndianRupees))
India,Ladakh,"Calendar Year (Jan - Dec), 2013",30.02868418287032717749,6.84557767606585025969,211.60052401257859828275,13.95360561447288327694,3836.32296806184876150704
India,Ladakh,"Calendar Year (Jan - Dec), 2014",2211.31842706602552094804,1.55283071885199798223,53.36488667604049403720,54.58965456696601357248,32753.79274017960814348800
India,Ladakh,"Calendar Year (Jan - Dec), 2015",12.11645377808460397402,0.83109249741374539894,28.32275747765263925335,49.45000359611785123693,29670.00215767071074215800
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2014",203,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2015",0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",781105.00000000000000000000,6923.00000000000000000000,222505.00000000000000000000,78420.00000000000000000000,14258826.00000000000000000000
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2014",5393149,4373,139355,46498,27898800
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2015",180786,1574,99230,11602,7317000
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",1087660.00000000000000000000,7091.00000000000000000000,241037.00000000000000000000,293681.00000000000000000000,36643106.00000000000000000000
India,Maharashtra,"Calendar Year (Jan - Dec), 2014",6195011,5572,185726.5,100400,60240000
India,Maharashtra,"Calendar Year (Jan - Dec), 2015",87393,3227,106877,69985,41847600
India,Manipur,"Calendar Year (Jan - Dec), 2013",2382.00000000000000000000,2.00000000000000000000,120.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Manipur,"Calendar Year (Jan - Dec), 2014",23748,0,0,563,337800
India,Manipur,"Calendar Year (Jan - Dec), 2015",5131,5,220,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",12062.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Meghalaya,"Calendar Year (Jan - Dec), 2014",13412,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2015",483,1,60,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2013",192.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Mizoram,"Calendar Year (Jan - Dec), 2014",4363,1,20,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2015",350,3,107,0,0
India,Nagaland,"Calendar Year (Jan - Dec), 2013",522.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Nagaland,"Calendar Year (Jan - Dec), 2014",7917,0,0,0,0
India,Nagaland,"Calendar Year (Jan - Dec), 2015",0,0,0,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2013",286666.00000000000000000000,870.00000000000000000000,32595.00000000000000000000,62146.00000000000000000000,5330589.00000000000000000000
India,Odisha,"Calendar Year (Jan - Dec), 2014",850961,618,22420,23638,14182800
India,Odisha,"Calendar Year (Jan - Dec), 2015",44677,292,11610,28961,16667400
India,Puducherry,"Calendar Year (Jan - Dec), 2013",14426.00000000000000000000,197.00000000000000000000,6000.00000000000000000000,14204.00000000000000000000,923806.00000000000000000000
India,Puducherry,"Calendar Year (Jan - Dec), 2014",87185,225,6870,17693,10607400
India,Puducherry,"Calendar Year (Jan - Dec), 2015",20313,140,4725,4382,2629200
India,Punjab,"Calendar Year (Jan - Dec), 2013",5755.00000000000000000000,37.00000000000000000000,1470.00000000000000000000,3840.00000000000000000000,1593609.00000000000000000000
India,Punjab,"Calendar Year (Jan - Dec), 2014",558820,49,1815,3248,3818400
India,Punjab,"Calendar Year (Jan - Dec), 2015",6397,34,1365,3036,3511800
India,Rajasthan,"Calendar Year (Jan - Dec), 2013",615048.00000000000000000000,7571.00000000000000000000,237520.00000000000000000000,119074.00000000000000000000,73507198.00000000000000000000
India,Rajasthan,"Calendar Year (Jan - Dec), 2014",2824051,5046,157769,70658,83774400
India,Rajasthan,"Calendar Year (Jan - Dec), 2015",62135,1986,61320,64700,76559100
India,Sikkim,"Calendar Year (Jan - Dec), 2013",131.00000000000000000000,4.00000000000000000000,120.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Sikkim,"Calendar Year (Jan - Dec), 2014",2271,1,30,2573,1543800
India,Sikkim,"Calendar Year (Jan - Dec), 2015",1,2,60,658,2400
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2013",569141.00000000000000000000,3557.00000000000000000000,144475.00000000000000000000,159694.00000000000000000000,44008460.00000000000000000000
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2014",833739,2347,88440,164690,98814000
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2015",378864,1259,45175,87108,52264800
India,Telangana,"Calendar Year (Jan - Dec), 2013",889898.77918539339026789412,20331.57600659071741548432,664526.727207353510120196650,812062.46417677151392880286,43867924.54435219955447409080
India,Telangana,"Calendar Year (Jan - Dec), 2014",3670942.03067507880659492136,15136.52891306496273960550,495320.405638091974488888250,441056.72545171818414204742,156919093.68649001651895252720
India,Telangana,"Calendar Year (Jan - Dec), 2015",123909.71562003976388078752,9773.04525719833479414310,316875.11100745740370569132,30686.49302460297805000706,23549873.12463445446933373000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2014",680.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2015",16.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2013",381.00000000000000000000,2.00000000000000000000,120.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2014",44591,6,188,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2015",774,11,202,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",1014501.00000000000000000000,3447.00000000000000000000,118802.500000000000000000000,8051.00000000000000000000,1825208.00000000000000000000
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2014",4391429.00000000000000000000,1682.00000000000000000000,60964.500000000000000000000,11944.00000000000000000000,7166400.00000000000000000000
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",7603,2698,127190,7296,4450200
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",47189.00000000000000000000,1703.00000000000000000000,55570.00000000000000000000,26188.00000000000000000000,4027562.00000000000000000000
India,Uttarakhand,"Calendar Year (Jan - Dec), 2014",702508,1949,60649.5,12140,14217000
India,Uttarakhand,"Calendar Year (Jan - Dec), 2015",3043,723,22310,630,1108800
India,West Bengal,"Calendar Year (Jan - Dec), 2013",34289.00000000000000000000,491.00000000000000000000,20865.00000000000000000000,3017.00000000000000000000,709701.00000000000000000000
India,West Bengal,"Calendar Year (Jan - Dec), 2014",757511,383,15720,87425,52455000
India,West Bengal,"Calendar Year (Jan - Dec), 2015",66033,222,9406,48099,29251800
