Country,State,Year,Month,Name Of The Fertilizer Used,Required Fertilizer Quantity (UOM:MT(Metrictonne)),Available Fertilizer Quantity (UOM:MT(Metrictonne))
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","December, 2014",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","August, 2014",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","March, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","November, 2012",Muriate of Potash (MOP) or Potassium Chloride,42297.403,13669.731
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","May, 2012",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","October, 2014",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","November, 2012",UREA,225586.147,21067.265
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","April, 2012",Muriate of Potash (MOP) or Potassium Chloride,28198.268,25828.915
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","December, 2013","nitrogen, phosphorus, and potassium",45.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","October, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","January, 2016",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","July, 2013",Muriate of Potash (MOP) or Potassium Chloride,16918.961,11955.158
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","October, 2012",Diammonium Phosphate,112.793,14386.757
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","October, 2012",Monoammonium Phosphate,0.000,12.999
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","August, 2012",Diammonium Phosphate,80.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","September, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016",Single super Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","October, 2012",Muriate of Potash (MOP) or Potassium Chloride,31018.095,9293.839
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","June, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","August, 2012",Muriate of Potash (MOP) or Potassium Chloride,14.099,23748.835
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","April, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","September, 2013",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","May, 2012",Diammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","December, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","September, 2015",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015",Diammonium Phosphate,500.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","November, 2012",Muriate of Potash (MOP) or Potassium Chloride,70.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","August, 2015",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","July, 2012",Triple superphosphate,0.000,1007.129
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","May, 2013",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","January, 2016",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","August, 2015","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","July, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","November, 2015",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","August, 2013",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","February, 2014",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","June, 2012","nitrogen, phosphorus, and potassium",42297.403,78915.420
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","February, 2017",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","October, 2012",Diammonium Phosphate,100.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","October, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","November, 2013",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","February, 2015",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","January, 2016",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","November, 2013",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","June, 2012",Muriate of Potash (MOP) or Potassium Chloride,11279.307,30092.510
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","June, 2012",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","February, 2014",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","July, 2012",UREA,7049.567,29691.367
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","June, 2013",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","August, 2013",Diammonium Phosphate,56396.537,22264.704
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","September, 2012",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","January, 2017","nitrogen, phosphorus, and potassium",0.000,500.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","July, 2013",Single super Phosphate,11279.307,3323.476
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","March, 2016",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013",Diammonium Phosphate,28198.268,29023.096
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","July, 2012",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","October, 2013",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","May, 2012",UREA,112793.074,31202.247
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","August, 2015",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","January, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","September, 2012",Triple superphosphate,0.000,1.072
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","February, 2015",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","December, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","August, 2013",UREA,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","April, 2012",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","August, 2013",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","September, 2012",Diammonium Phosphate,100.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","August, 2012",Muriate of Potash (MOP) or Potassium Chloride,50.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","January, 2016","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","May, 2014",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","December, 2014",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012",Muriate of Potash (MOP) or Potassium Chloride,500.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","October, 2013",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","May, 2012","nitrogen, phosphorus, and potassium",550.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","August, 2012",Triple superphosphate,0.000,1.072
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","September, 2013","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","June, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","March, 2016",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","May, 2013","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","June, 2013",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","July, 2012",UREA,15.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","September, 2012",Muriate of Potash (MOP) or Potassium Chloride,60.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","September, 2012","nitrogen, phosphorus, and potassium",40.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","October, 2012",UREA,85.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","July, 2012","nitrogen, phosphorus, and potassium",15.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","June, 2012","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","March, 2016",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","May, 2014",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","June, 2013","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","June, 2012",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","July, 2015",Single super Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","January, 2014",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","January, 2014",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","August, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","February, 2014",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","February, 2014",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","April, 2013",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","December, 2013",Muriate of Potash (MOP) or Potassium Chloride,50.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","June, 2012",Diammonium Phosphate,28198.268,34372.843
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","August, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","May, 2014",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","March, 2015","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","February, 2015",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","November, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","May, 2012",Muriate of Potash (MOP) or Potassium Chloride,22558.615,43281.697
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","March, 2015",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","May, 2013",Diammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","August, 2012",Diammonium Phosphate,70.496,29844.512
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","July, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","January, 2014",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","November, 2014",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","July, 2012",Diammonium Phosphate,50.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","May, 2012",Diammonium Phosphate,28198.268,39887.353
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","December, 2013",Diammonium Phosphate,56396.537,60068.515
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","June, 2014",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","January, 2017",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","October, 2015",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","January, 2017",Diammonium Phosphate,0.000,1000.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013",UREA,169189.610,78580.622
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","October, 2015",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","June, 2014",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","November, 2012",Diammonium Phosphate,100.000,500.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","July, 2012",Monoammonium Phosphate,0.000,894.928
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","November, 2012",UREA,70.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","July, 2013",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","July, 2013",Diammonium Phosphate,28198.268,17702.957
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","July, 2014",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","March, 2014",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","April, 2013",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","January, 2014",UREA,169189.610,7607.605
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","August, 2012",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","May, 2013",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","January, 2014",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","September, 2015",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","October, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","March, 2015",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","November, 2015",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","July, 2015",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","November, 2015",Diammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","February, 2014","nitrogen, phosphorus, and potassium",169189.610,95523.879
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","November, 2014",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","January, 2014",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","February, 2014",Muriate of Potash (MOP) or Potassium Chloride,42297.403,25486.700
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","July, 2013",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","April, 2013",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","October, 2015","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","May, 2014",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","June, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","January, 2017",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","November, 2015","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","November, 2014",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","December, 2013",Diammonium Phosphate,70.000,500.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","January, 2017",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","September, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","October, 2013","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","March, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","July, 2014",UREA,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","December, 2013","nitrogen, phosphorus, and potassium",115612.900,66119.627
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","September, 2012","nitrogen, phosphorus, and potassium",112793.074,98013.532
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","December, 2014",UREA,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","January, 2014",Diammonium Phosphate,56396.537,49457.535
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.000,500.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","July, 2012",Muriate of Potash (MOP) or Potassium Chloride,14099.134,34383.136
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","February, 2017",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","January, 2016",Single super Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","December, 2013",UREA,225586.147,6828.380
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013",Muriate of Potash (MOP) or Potassium Chloride,28198.268,9070.983
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","March, 2015",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","June, 2013",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","August, 2013",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","May, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","July, 2013","nitrogen, phosphorus, and potassium",500.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","November, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","January, 2014",Muriate of Potash (MOP) or Potassium Chloride,42297.403,25031.101
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","February, 2015",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","August, 2014",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015",Muriate of Potash (MOP) or Potassium Chloride,400.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","July, 2015","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","July, 2013",Diammonium Phosphate,500.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","August, 2015",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","May, 2013",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","July, 2013",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013","nitrogen, phosphorus, and potassium",101513.766,64498.638
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","May, 2012",UREA,600.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","December, 2013",Muriate of Potash (MOP) or Potassium Chloride,53576.710,20578.143
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","April, 2013",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","September, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","October, 2012",Muriate of Potash (MOP) or Potassium Chloride,100.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","September, 2015",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","February, 2014",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","June, 2014",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","June, 2012",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","June, 2012",UREA,56396.537,32137.707
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","July, 2012",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","February, 2014",Monoammonium Phosphate,0.000,10.067
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015","nitrogen, phosphorus, and potassium",500.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","November, 2012",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","August, 2012","nitrogen, phosphorus, and potassium",112.793,136.468
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","July, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","January, 2017",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","November, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","February, 2017",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","October, 2014",UREA,0.000,0.000
