Country,State,Year,Month,Name Of The Fertilizer Used,Required Fertilizer Quantity (UOM:MT(Metrictonne)),Available Fertilizer Quantity (UOM:MT(Metrictonne))
India,Maharashtra,"Financial Year (Apr - Mar), 2014","March, 2015","nitrogen, phosphorus, and potassium",145700.000,103218.540
India,Nagaland,"Financial Year (Apr - Mar), 2015","March, 2016",Triple superphosphate,0.000,0.000
India,Nagaland,"Financial Year (Apr - Mar), 2015","December, 2015",UREA,0.000,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013","April, 2013",Monoammonium Phosphate,0.000,0.000
India,Puducherry,"Financial Year (Apr - Mar), 2014","February, 2015",Muriate of Potash (MOP) or Potassium Chloride,300.000,12.000
India,Haryana,"Financial Year (Apr - Mar), 2015","July, 2015",UREA,0.000,3274.750
India,Goa,"Financial Year (Apr - Mar), 2012","August, 2012",Triple superphosphate,0.000,0.000
India,Meghalaya,"Financial Year (Apr - Mar), 2013","December, 2013",UREA,500.000,1200.000
India,Nagaland,"Financial Year (Apr - Mar), 2012","April, 2012",Muriate of Potash (MOP) or Potassium Chloride,50.000,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014","December, 2014",Triple superphosphate,0.000,3858.250
India,Kerala,"Financial Year (Apr - Mar), 2013","March, 2014","nitrogen, phosphorus, and potassium",21000.000,12165.710
India,Sikkim,"Financial Year (Apr - Mar), 2012","November, 2012",Monoammonium Phosphate,0.000,0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015","January, 2016",Single super Phosphate,0.000,0.000
India,Haryana,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.000,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012","November, 2012",UREA,145000.000,6220.550
India,Karnataka,"Financial Year (Apr - Mar), 2012","October, 2012",Monoammonium Phosphate,0.000,163.900
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2014","August, 2014",UREA,0.000,130.000
India,Maharashtra,"Financial Year (Apr - Mar), 2014","October, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,23498.050
India,Maharashtra,"Financial Year (Apr - Mar), 2012","May, 2012",Triple superphosphate,0.000,0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015","March, 2016","nitrogen, phosphorus, and potassium",0.000,5609.900
India,Goa,"Financial Year (Apr - Mar), 2014","April, 2014",Diammonium Phosphate,0.000,29.200
India,Chandigarh,"Financial Year (Apr - Mar), 2016","January, 2017",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Kerala,"Financial Year (Apr - Mar), 2013","May, 2013",Muriate of Potash (MOP) or Potassium Chloride,4500.000,3661.920
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015","February, 2016",Single super Phosphate,0.000,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2014","June, 2014",Single super Phosphate,0.000,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.000,3858.250
India,Ladakh,"Financial Year (Apr - Mar), 2012","June, 2012","nitrogen, phosphorus, and potassium",0.000,0.000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015","January, 2016",Monoammonium Phosphate,0.000,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2015","March, 2016",Monoammonium Phosphate,0.000,0.000
India,Manipur,"Financial Year (Apr - Mar), 2015","January, 2016",Diammonium Phosphate,0.000,0.000
India,Karnataka,"Financial Year (Apr - Mar), 2015","February, 2016",Muriate of Potash (MOP) or Potassium Chloride,22000.000,20309.560
India,Puducherry,"Financial Year (Apr - Mar), 2014","August, 2014",Triple superphosphate,0.000,0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015","August, 2015",Single super Phosphate,0.000,0.000
India,Haryana,"Financial Year (Apr - Mar), 2012","August, 2012",Triple superphosphate,0.000,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014","March, 2015",UREA,45000.000,17831.600
India,Sikkim,"Financial Year (Apr - Mar), 2015","January, 2016",Triple superphosphate,0.000,0.000
India,Nagaland,"Financial Year (Apr - Mar), 2014","May, 2014",Triple superphosphate,0.000,0.000
India,Sikkim,"Financial Year (Apr - Mar), 2013","January, 2014",Diammonium Phosphate,0.000,0.000
India,Ladakh,"Financial Year (Apr - Mar), 2012","September, 2012",Diammonium Phosphate,243.411,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2012","October, 2012",UREA,145000.000,9440.200
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012","May, 2012",UREA,19510.000,20273.250
India,Meghalaya,"Financial Year (Apr - Mar), 2014","January, 2015",Triple superphosphate,0.000,0.000
India,Meghalaya,"Financial Year (Apr - Mar), 2015","August, 2015",Single super Phosphate,0.000,0.000
India,Delhi,"Financial Year (Apr - Mar), 2013","March, 2014",Diammonium Phosphate,500.000,0.000
India,Manipur,"Financial Year (Apr - Mar), 2016","January, 2017",Triple superphosphate,0.000,0.000
India,Gujarat,"Financial Year (Apr - Mar), 2014","June, 2014","nitrogen, phosphorus, and potassium",0.000,75059.100
India,Rajasthan,"Financial Year (Apr - Mar), 2014","January, 2015",Triple superphosphate,0.000,3526.250
India,Rajasthan,"Financial Year (Apr - Mar), 2012","July, 2012",Triple superphosphate,0.000,3526.250
India,Lakshadweep,"Financial Year (Apr - Mar), 2014","January, 2015",UREA,0.000,0.000
India,Odisha,"Financial Year (Apr - Mar), 2015","January, 2016",Monoammonium Phosphate,0.000,0.000
India,Delhi,"Financial Year (Apr - Mar), 2013","March, 2014",Monoammonium Phosphate,0.000,0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013","August, 2013","nitrogen, phosphorus, and potassium",59400.000,33288.450
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014","June, 2014",UREA,0.000,596.957
India,Nagaland,"Financial Year (Apr - Mar), 2014","February, 2015",Triple superphosphate,0.000,0.000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2013","April, 2013",Single super Phosphate,25000.000,22700.710
